Non T2D 1	Non T2D 2	Non T2D 3	Non T2D 4	Non T2D 5	Non T2D 6
ST6GALNAC3	0	207	855	0	12	158
PIGK	8071	14591	10429	2639	1513	526
DDAH1	5146	13263	7495	5352	1675	745
CLCA4	0	1	2	4	2	0
LRRC8C	90	363	1653	117	16	346
PKN2-AS1	0	0	0	8	2	8
FAM69A	1402	1366	1236	1007	245	55
GCLM	4415	13773	6702	4699	3314	1737
LOC729970	256	224	349	301	212	66
NTNG1	194	483	26	8	32	7
PHTF1	241	4009	2045	1312	713	256
KCNA2	0	0	0	0	2	0
GNAI3	8284	24568	21038	5244	2138	922
RAP1A	1167	4729	3288	2489	884	494
RHOC	8099	41775	11269	36782	5971	8646
NOTCH2	605	4244	1317	4364	576	862
WDR3	971	3003	2492	1216	443	233
PDZK1	954	3778	3133	232	813	498
NBPF10	31	95	30	152	44	7
NBPF9	6.33333333333333	17	19.3333333333333	12	4	2.33333333333333
NBPF20	0	0	0	0	0	0
NBPF8	0	6	3.5	2	1.5	0.5
NBPF25P	0.333333333333333	22	1.33333333333333	8.33333333333333	1.33333333333333	0.333333333333333
OTUD7B	552	1044	288	1917	366	137
TPM3	14956	43670	11992	11453	5929	2880
GBAP1	103	721	192	207	152	47
SMG5	2176	16719	1434	8042	2478	1470
FCGR2A	16	36	71	236	25	2
PBX1	1308	7556	3242	4613	1649	663
LOC440700	8	7	0	0	21	11
DNM3	590	1816	676	203	159	72
MROH9	0	0	0	3	0	0
TNFSF18	0	0	0	0	0	0
TNN	0	0	0	3	12	0
BRINP2	200	97	34	14	26	5
SOAT1	5430	24720	26418	5108	3609	2182
ACBD6	1842	12953	2892	4229	2368	1742
SMG7	2879	10803	4019	3408	1760	705
RGSL1	0	0	0	0	0	0
RASAL2	467	3394	1541	1779	761	371
PTGS2	0	367	30	39	0	0
ZBTB41	4120	4704	7702	760	1278	279
NEK7	1556	3071	2699	1387	672	311
SRGAP2C	0	0	0	0	0	0
SRGAP2	357	693	148	234	638	302
SRGAP2D	117.5	94	90.5	22.5	15	5
PPP1R12B	685	1935	1616	1138	708	140
SRGAP2B	0	0	0	0	0	0
HHAT	713	1185	59	607	197	52
ESRRG	496	1950	992	816	618	145
BATF3	0	83	0	7	14	6
USH2A	240	345	489	163	63	43
EPRS	11592	30236	22664	11698	5027	1760
RNU5F-1	0	0	0	0	2	0
DNAH14	1077	2411	1890	602	464	108
TSNAX-DISC1	0	0	0	0	0	0
NUP133	3164	8206	2520	1989	1238	411
LINC00582	0	0	0	0	0	0
TRIM11	353	3592	231	2564	852	672
MTR	1195	4783	2893	3857	900	407
LYST	3383	7523	3549	1433	1423	460
RGS7	717	2870	1100	1052	1591	475
LOC100130331	138	450	209	106	59	28
SMYD3	1886	4229	2789	2493	561	353
ZNF496	197	775	436	913	1026	736
KIF26B	7	716	36	154	127	21
OR14C36	0	0	0	0	7	0
LINC01128	1375	4246	3184	1284	545	241
CDK11B	107	500	148	347	132	57
NADK	1094	2413	445	3069	1231	787
AURKAIP1	10573	29252	4239	16355	8434	4507
FAM132A	0	15	67	68	27	104
TNFRSF14	3845	7747	2231	3567	2497	2641
SKI	387	1122	189	832	589	310
TTC34	0	0	0	0	0	1
DFFB	409	1454	526	415	208	123
CCDC27	0	0	0	1	1	0
MEGF6	30	928	57	271	3	93
AJAP1	17	140	198	268	49	36
KCNAB2	1017	1303	217	233	416	173
NPHP4	1703	2787	376	1016	1473	441
PLEKHG5	48	121	12	295	77	86
ACOT7	1537	5197	1854	1544	1321	731
TNFRSF9	0	234	2	71	21	0
PER3	3017	9486	2926	2435	1339	479
RERE	3776	14209	3460	8288	4108	1753
H6PD	560	4471	591	4628	901	298
GPR157	0	71	0	58	9	6
CLSTN1	5416	12778	2258	11996	5360	2564
CTNNBIP1	639	3090	759	3024	2143	1049
KIF1B	3937	8949	4448	3116	2222	801
UBE4B	2522	4751	2441	2126	1068	611
EXOSC10	5193	17396	6042	6103	1949	979
MTOR	1342	4737	2925	2180	890	351
CASZ1	486	1016	392	1986	771	1022
C1orf127	2282	18025	720	5837	2493	1236
PEX14	776	1474	157	1921	859	668
MFN2	3302	9521	2448	4562	1777	1160
AGTRAP	2585	17963	2885	8367	4314	2718
VPS13D	3091	7715	4294	2888	2254	635
TNFRSF8	0	0	0	0	0	0
AADACL4	0	0	0	2	0	0
FHAD1	228	247	115	66	46	34
TMEM51-AS1	217	265	174	499	74	102
KAZN	140	280	310	425	102	126
DNAJC16	2017	7237	2481	2187	616	187
FBXO42	1980	7494	4321	1601	669	351
SPEN	1467	9784	2761	4724	2250	910
MFAP2	151	673	821	1809	357	277
NBPF1	928	6478	1027	2383	1183	370
PADI2	0	0	0	65	17	11
ESPNP	0	1	0	43	0	1
PADI1	0	0	0	21	1	8
ARHGEF10L	2047	16420	1615	3152	2131	1166
ACTL8	0	0	0	23	0	0
IGSF21	29	1223	238	508	894	19
CAPZB	8385	38469	10548	14435	11718	5455
IFFO2	483	834	149	1426	221	146
PAX7	0	0	0	0	0	0
UBR4	5675	25256	8762	13362	7395	2942
LINC01141	0	1	0	0	4	5
TMCO4	642	4401	564	2471	524	221
EIF4G3	4061	11325	6573	6940	2644	816
ALPL	0	3	0	1	17	0
HP1BP3	5789	28523	7846	8188	4466	1586
ECE1	3450	18986	1308	18030	4706	3247
CDC42	10367	24697	9056	11732	4894	1998
ZBTB40	1050	2821	1495	1546	770	346
HSPG2	84	778	87	2512	461	1870
LDLRAD2	30	24	7	30	6	28
LUZP1	952	5547	1603	2247	1273	1238
TCEA3	472	3046	957	7651	551	529
E2F2	0	2	0	56	1	9
IFNLR1	256	638	278	669	190	117
NIPAL3	6934	10044	5837	4579	1289	861
NCMAP	677	2781	1037	2082	724	259
TMEM57	450	3174	1720	2725	906	410
RHCE	83	149	191	11	217	90
MAN1C1	2236	8188	3141	1391	1321	466
LIN28A	0	5	1	6	0	1
RPS6KA1	475	2676	822	2758	777	469
SH3BGRL3	16537	69615	22156	32228	15226	12945
WASF2	3408	13489	4144	6162	3231	2083
TMEM222	3902	13806	2394	6489	2796	2145
AHDC1	917	1082	376	1365	1138	462
PHACTR4	1965	11654	1955	7057	1549	733
TAF12	2808	6397	4648	1271	959	407
SNHG3	1626	4971	1380	3710	1277	568
RCC1	170	1018	97	2165	569	330
PTPRU	98	3092	276	2417	634	311
SRSF4	2602	12917	5637	4921	2455	1261
MATN1	0	4	0	16	1	57
MATN1-AS1	0	95	27	108	18	33
PTP4A2	5583	15447	5067	11324	3494	1389
SYNC	0	0	18	68	3	1
ZBTB8A	582	640	919	1033	342	179
RNF19B	1658	4327	2096	566	900	441
S100PBP	975	3590	2704	978	619	231
HDAC1	4140	17415	9827	5633	3193	2428
KPNA6	10089	27624	10744	11202	4838	1779
PHC2	3657	16021	2776	4516	3404	1909
ZSCAN20	231	513	1	301	27	32
CSMD2-AS1	0	0	0	0	0	4
AGO3	839	1692	330	1305	501	180
ZMYM4	1598	4514	5400	1736	1816	579
AGO4	796	2551	578	589	252	166
KIAA0319L	3763	12833	2857	7002	2494	1284
TFAP2E	0	126	50	5	0	0
STK40	2089	8129	757	4822	3116	1441
GRIK3	0	0	0	2	5	12
YRDC	1012	2863	1248	2653	1081	534
SNIP1	872	3352	1162	1289	412	330
INPP5B	1438	3500	1377	1189	923	251
RRAGC	3112	6403	4618	3044	1412	439
RLF	660	3714	1168	1406	501	205
BMP8B	234	360	255	336	301	26
BMP8A	900	1754	3320	508	498	251
SCMH1	1451	7545	2182	3426	1304	704
KCNQ4	0	0	7	167	27	35
NFYC-AS1	219	454	467	291	102	62
FOXJ3	1861	9466	2703	3199	1164	647
HIVEP3	1004	5407	1421	1723	950	306
RIMKLA	224	2561	674	1217	625	423
WDR65	7	160	0	19	67	26
LOC100129924	0	35	8	1	1	5
TIE1	86	78	404	0	41	1199
SZT2	558	9985	1473	4910	1941	853
ST3GAL3	354	2950	219	1773	1404	639
IPO13	853	6177	1094	3576	1707	926
ERI3	5654	11962	4169	6961	4024	2211
KDM4A-AS1	11	511	34	218	48	32
ERI3-IT1	0	2	2	15	6	0
TESK2	669	260	30	307	43	27
EIF2B3	5360	11887	7741	2427	1667	812
ZSWIM5	847	1967	862	643	403	210
KIF2C	22	450	9	105	162	7
POMGNT1	2512	15532	2487	4703	4141	2121
PIK3R3	757	2751	1814	1016	666	411
MAST2	1231	2475	1052	1473	1368	342
MKNK1	3555	4693	2067	3919	1006	457
CMPK1	9549	31903	17002	13396	4119	2162
CYP4Z2P	0	0	0	0	0	0
CYP4Z1	5	0	0	0	0	0
SPATA6	640	1954	895	701	311	52
SKINTL	0	0	0	27	0	0
ELAVL4	1417	12014	2506	1176	1115	257
TTC39A	9331	25506	6751	4905	4669	2020
OSBPL9	4429	21390	8244	6141	2052	1136
NRD1	10867	28633	15834	6794	4397	1821
EPS15	5651	12237	6896	3237	1936	819
ZYG11B	676	3169	1749	2268	682	281
ZCCHC11	3194	9584	6776	3198	2224	867
ZFYVE9	181	2204	1069	824	676	211
CC2D1B	2118	5925	2237	2661	1456	698
ZYG11A	1	12	0	0	9	0
GLIS1	0	0	0	0	3	6
LRP8	77	723	481	174	256	54
HSPB11	4302	11254	6317	1624	1383	570
NDC1	1019	2282	2144	1163	349	87
CYB5RL	851	1839	595	718	373	285
ACOT11	301	1460	132	485	460	149
MROH7-TTC4	0	49	16	0	3	0
SSBP3	1453	5685	1523	1095	879	477
PRKAA2	1308	2137	1415	913	258	126
C1orf168	307	4471	1499	560	493	271
PPAP2B	733	4113	3026	1974	412	2707
C8B	42	844	28	7	26	7
DAB1-AS1	0	0	0	0	0	0
OMA1	2048	6399	5443	1325	607	231
LINC01358	0	0	9	2	2	0
HOOK1	3322	15526	8294	2688	2388	579
LOC101926964	1	2	0	4	5	1
KANK4	0	2	24	458	16	1
INADL	6384	11954	4596	4563	1549	487
ATG4C	1010	1378	2123	377	247	70
DOCK7	631	5529	2986	1354	722	227
LINC00466	0	0	0	0	0	0
ROR1	990	3660	2707	2698	2861	1372
PGM1	8524	19678	9749	10150	3910	1332
DNAJC6	1561	4908	2689	1251	964	298
RAVER2	263	3494	2495	999	808	227
AK4	117	465	365	218	45	2
JAK1	8792	29174	16720	12229	5216	3114
PDE4B	242	1477	664	869	140	157
WDR78	185	812	800	381	264	70
IL23R	558	15	11	7	21	8
SLC35D1	1379	5039	2812	1731	554	264
TCTEX1D1	0	111	1	6	15	3
SERBP1	3362	13418	7387	7215	2935	1351
DEPDC1	0	549	0	9	75	1
WLS	3426	13656	8908	11577	2711	1642
GNG12-AS1	23	344	2	27	11	1
GNG12	9176	19907	8492	8168	2198	1046
PIN1P1	466	1210	141	209	227	93
ANKRD13C	4415	9826	4889	1733	1043	440
LRRC40	1359	4614	2427	590	278	183
PTGER3	555	1727	876	432	689	155
ZRANB2-AS2	28	408	258	70	31	7
LINC01360	0	0	0	0	0	0
TNNI3K	0	0	0	0	0	0
FPGT-TNNI3K	0	2.5	0	0.5	1.5	0.5
LRRIQ3	96	181	544	46	80	54
ERICH3	8	753	458	42	264	118
MSH4	0	0	145	2	17	0
SLC44A5	225	2512	862	441	95	22
ST6GALNAC5	1002	3988	2073	743	442	237
NEXN	184	813	264	552	40	123
AK5	76	656	514	296	169	78
ZZZ3	3216	9125	7611	2185	1024	467
GIPC2	988	1607	1284	2727	41	176
FAM73A	2161	6950	2322	2221	1544	591
MGC27382	0	0	0	12	1	0
ELTD1	168	218	2449	0	51	566
LPHN2	420	2891	2987	663	172	210
SAMD13	445	350	371	110	37	2
PRKACB	3614	10802	7566	3624	1916	657
MIR548AP	0	1	3	0	0	0
TTLL7	671	2090	1562	1660	1173	268
LOC101927560	41	163	77	188	86	37
LOC101927587	96	799	398	191	125	45
C1orf52	1858	4866	3968	1985	1021	505
WDR63	78	96	3	25	15	57
LPAR3	0	150	1	657	0	0
MCOLN2	0	0	0	0	9	0
CLCA2	0	0	0	1	0	0
COL24A1	0	0	0	13	17	0
HS2ST1	2191	4188	2350	1546	881	337
LOC101927844	0	1	0	0	1	0
LRRC8B	1218	3225	1806	1980	708	204
PKN2	1487	8742	2943	3260	1711	567
GBP4	0	137	351	35	70	308
GBP1	0	305	1180	119	24	49
LRRC8D	2385	6972	2396	3850	1308	514
HFM1	386	324	610	76	46	3
RPAP2	295	2651	1389	899	462	136
EVI5	937	7439	3506	1785	920	321
FNBP1L	4478	16898	10843	2986	3347	1205
MTF2	2445	8021	6341	2704	1570	564
BCAR3	1475	2279	1287	718	394	340
CCDC18	134	947	231	189	264	88
ABCA4	63	36	76	8	23	5
SLC44A3	671	4613	4121	5308	1178	560
ABCD3	4001	13179	8946	5635	2358	843
LINC01057	150	545	287	620	225	160
TMEM56-RWDD3	4	17	112	27	17	3
FLJ31662	0	0	0	0	0	0
PTBP2	1331	1938	4774	1122	274	196
LOC101928241	0	1	1	0	0	0
DPYD	242	665	416	1030	96	187
DPYD-AS1	0	0	0	1	0	1
SNX7	990	2887	2375	1740	713	335
LOC100129620	0	6	2	2	8	0
LOC729987	0	1	0	2	0	0
PALMD	66	610	629	211	63	139
HIAT1	10470	21343	17769	3956	1719	736
LPPR4	1090	5441	1838	119	741	147
VCAM1	78	17135	402	972	574	255
CDC14A	957	754	252	132	128	18
OLFM3	2	6	1	0	1	16
COL11A1	4	8	7	29	4	0
RNPC3	777	8960	1314	5135	1186	324
AMY1A	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0
VAV3	254	2738	1665	2114	279	316
VAV3-AS1	0	0	0	3	0	1
MYBPHL	677	230	159	14	157	72
WDR47	838	5742	2551	788	534	150
KIAA1324	40282	192527	50014	33244	35416	10561
GPSM2	554	598	126	107	143	23
STXBP3	6481	13937	9026	3195	1375	541
GSTM1	365	2452	10	865	371	218
KCNC4	441	2782	468	2235	1306	465
RBM15	519	981	114	764	355	138
DRAM2	4244	16393	11883	4782	1690	540
ADORA3	0	12	104	0	42	102
ST7L	1796	6948	3877	893	829	363
KCND3	0	92	111	224	328	211
CTTNBP2NL	806	4902	1798	2803	699	491
LRIG2	1000	1995	901	823	516	203
MAGI3	508	1995	1394	1653	507	169
LINC01356	0	0	0	0	1	0
TRIM33	1750	5696	4618	2235	1516	699
DENND2C	28	289	358	303	60	22
SYT6	0	0	1	20	0	0
AP4B1-AS1	1	53	6	15	7	12
BCL2L15	593	1302	161	762	78	31
SYCP1	0	0	0	0	0	0
NGF	161	823	716	129	148	60
TSPAN2	8397	16360	10218	1890	3841	1484
CASQ2	0	0	0	0	0	0
CD2	0	0	0	0	0	0
IGSF3	0	436	130	579	92	114
SLC22A15	723	1315	1972	591	363	80
ATP1A1	15895	74507	13826	125942	20836	13651
CD101	0	4	0	70	62	0
VTCN1	226	9071	3428	4222	1369	1042
MAN1A2	2533	6920	4156	3413	1716	464
LOC101929099	0	91	0	36	7	18
SPAG17	29	244	0	51	25	36
HAO2	0	0	0	0	0	0
WARS2	504	3754	1230	1458	530	291
FAM72B	3	5	0	0	7	1
SRGAP2-AS1	0	0	0	0	2	0
LINC00623	0	0	0	0	0	0
LINC00869	0	13	14	2	1.5	0
LIX1L	1490	3021	2977	1883	1413	466
PDE4DIP	6202	24456	6308	7928	4531	1162
RNF115	1135	4073	2098	4076	1587	426
NOTCH2NL	329	6352	242	2992	541	276
SEC22B	35688	43507	37924	5392	4547	1664
FMO5	476	1658	972	967	128	99
NBPF12	16	86	0	27	6	2
NBPF11	0	0	0	0	0.5	0
LOC101927468	22	117	28	13	50	3
LINC00624	0	0	9	1	2	1
BCL9	455	6197	1189	2742	1127	643
GPR89B	30	256	114	122	48	33
FAM231D	0	0	0	0	0	0
PPIAL4B+PPIAL4C	0	0	0	0	0	0
LOC388692	1	8	6	5	7	2
ENSA	9452	23197	8468	15566	6756	3657
TARS2	4983	9606	1425	2817	1089	513
VPS45	2496	11383	6291	2689	1379	645
CTSS	2442	11018	3296	5953	1098	1041
RPRD2	1949	6262	2005	3075	1940	714
TUFT1	1492	5728	2266	2709	1016	395
ZNF687	73	6830	36	7509	330	171
POGZ	3166	8874	3256	3034	1727	437
SNX27	7631	16171	4455	3566	2085	848
RORC	1743	3885	703	4415	1713	775
FLG-AS1	173	293	1039	184	61	28
CHTOP	5678	19821	9114	6135	3448	1724
NUP210L	0	681	132	12	4	9
GATAD2B	1829	2861	1449	2051	974	430
KCNN3	83	1709	301	160	455	671
PBXIP1	5631	19915	3663	4483	3408	2137
IL6R	2477	16458	4883	3111	1821	726
EFNA3	2	848	74	436	199	81
LMNA	17577	46364	5704	24960	7679	6115
MSTO1	128	371	194	108	113	49
ASH1L	1657	13855	8504	4871	2630	564
MSTO2P	11	46	0	13	8.5	1.5
SYT11	9283	21589	7798	5484	2871	1053
MIR7851	0	1	0	0.5	0	0
IQGAP3	11	282	53	46	133	23
LRRC71	0	1	1	0	0	0
PRCC	2557	5973	1324	4869	2159	951
FCRL4	0	0	0	0	0	0
CD5L	45	0	0	0	1	0
IFI16	321	1318	4302	285	355	351
SPTA1	0	0	0	1	0	0
COPA	13538	39713	15369	17320	6152	2490
KCNJ10	0	0	0	0	18	0
IGSF9	0	305	26	636	83	43
CASQ1	0	0	90	7	5	0
FCRL6	0	45	0	0	6	0
CD244	0	0	0	1	9	0
PFDN2	6271	21842	9449	5623	3881	2081
NOS1AP	0	51	42	136	192	19
ATF6	4925	20095	8534	6660	2382	1078
NUF2	0	437	65	89	135	16
RGS5	400	4521	23463	180	162	119
DDR2	251	1620	374	370	220	126
RXRG	787	3566	971	766	404	150
LMX1A	0	0	0	1	3	0
LOC400794	0	1	0	3	2	0
FMO9P	0	0	0	1	0	0
UCK2	2095	3938	1742	2576	935	596
FAM78B	0	8	56	269	68	14
MAEL	0	59	0	1	19	4
POU2F1	612	6387	689	1539	981	319
RCSD1	0	0	134	0	56	27
DCAF6	2974	5517	3352	2680	1170	466
MPC2	29490	63693	33806	10247	9869	4702
TIPRL	3213	8300	4756	3119	1433	794
DPT	110	0	204	6	35	1
BLZF1	1260	2892	3330	727	416	116
ATP1B1	74433	80861	35499	27564	9475	3433
NME7	1385	4811	4276	1027	615	270
LINC00970	18	0	0	5	4	1
PRRX1	76	275	78	40	119	50
KIFAP3	5166	14317	9050	3051	2227	600
METTL11B	0	0	0	0	0	0
FMO4	235	442	228	350	83	33
VAMP4	3087	6329	4641	1233	925	325
FMO2	1	0	1	7	0	0
SLC9C2	0	0	0	15	1	1
DARS2	1838	3639	1428	2001	491	151
RC3H1	3166	6064	3384	2514	521	210
LOC100506023	22	586	581	253	1290	396
RABGAP1L	3447	13528	7138	3561	1564	501
CACYBP	8732	17586	13266	3264	2553	926
TNR	38	37	0	2	40	58
PAPPA2	1661	9752	682	1619	7447	2964
ASTN1	467	1759	281	181	530	137
LOC730102	1303	4930	3857	483	659	242
ABL2	2273	3522	3231	1383	820	380
FAM20B	1304	6130	2899	2135	1090	317
RALGPS2	1340	1505	1395	692	424	127
TDRD5	11	151	0	93	75	7
AXDND1	0	155	1	21	11	4
LHX4	33	22	17	11	5	18
TOR1AIP2	21722	32484	17329	8489	3350	1400
CEP350	2709	9873	6245	5186	2586	809
MR1	1515	7542	2023	3396	1681	278
XPR1	1670	10803	1609	8293	1049	241
CACNA1E	0	0	108	8	6	18
LINC01344	0	0	0	0	0	0
LAMC1	3082	11681	5355	7422	1245	1140
DHX9	3259	14505	8559	6187	3197	1117
NMNAT2	1776	8544	4136	2633	2260	538
RGL1	926	3123	1187	2338	500	584
TSEN15	5446	10757	4560	2081	1994	795
EDEM3	4936	12522	5008	3892	1524	568
FAM129A	1455	1430	710	7595	116	75
SWT1	565	1260	652	357	213	67
C1orf27	4207	9320	4847	2753	1297	533
HMCN1	0	0	1	12	8	0
RNU6-72P	0	0	0	0	0	0
MIR548F1	0	1	0	0	0	0
PLA2G4A	24	501	1461	131	47	14
LOC440704	0	0	40	1	0	0
BRINP3	0	0	0	0	4	4
LINC01351	0	0	6	0	0	0
RGS18	0	0	0	0	9	0
CDC73	2190	10575	3914	3927	1832	588
GLRX2	1664	3402	923	948	749	331
CFHR4	0	0	1	0	0	0
KCNT2	377	1312	138	151	38	39
DENND1B	713	1212	690	1616	354	113
CRB1	218	435	205	47	141	31
PTPRC	9	111	0	0	78	0
MIR181A1HG	12	113	47	34	11	18
LINC01222	0	0	0	0	0	0
NR5A2	1537	6339	2243	7384	322	355
CACNA1S	0	1	0	2	0	0
IGFN1	0	0	0	107	5	2
CAMSAP2	959	3082	1784	873	561	172
KIF14	3	331	0	5	70	5
IPO9-AS1	2	11	0	24	6	13
CSRP1	12550	48980	6196	25061	7776	3987
NAV1	4278	26873	7936	8557	4064	1773
ELF3	14986	57805	6575	53120	6892	8415
ARL8A	729	1601	649	4522	2815	1237
LGR6	0	12	0	25	0	0
IPO9	4613	13915	5195	5820	2371	1413
KDM5B	2354	10208	6131	4687	2251	1319
PPFIA4	6	40	0	44	47	32
SYT2	6	81	13	59	15	21
PLEKHA6	2523	9518	2846	3235	1616	678
SOX13	898	2555	844	1100	1038	681
ZC3H11A	2016	7797	3313	1920	1309	385
ATP2B4	1832	10825	5471	6497	1968	667
LEMD1	127	154	0	4	7	17
DSTYK	2478	7263	3638	1903	1295	387
NFASC	3163	14617	3485	2778	3413	1628
LRRN2	39	444	168	164	291	46
FAIM3	580	77	134	49	200	120
YOD1	227	1126	352	456	142	76
RASSF5	1101	10781	2215	3151	1527	639
CR1L	1	87	0	0	26	5
CR1	0	0	0	1	0	0
PLXNA2	2438	9219	3495	3900	2396	1513
SYT14	1182	2491	792	427	493	182
IRF6	4030	12589	3663	5162	3018	1272
KCNH1	12	312	98	284	38	7
LPGAT1	3035	9528	4331	2713	1303	551
INTS7	1599	3550	3284	1391	553	228
PPP2R5A	1474	3457	3375	2179	1514	342
RPS6KC1	2018	2895	1356	1061	464	191
PROX1	753	10104	2584	3602	1480	274
CENPF	1	4747	403	248	1361	79
PTPN14	165	334	422	1194	114	152
KCNK2	0	0	0	0	0	0
KCTD3	2223	4953	5282	3505	1958	977
SPATA17	91	428	152	42	74	13
GPATCH2	811	3682	1478	1662	637	147
RRP15	3927	9270	5701	1766	641	374
LYPLAL1-AS1	280	64	102	44	68	16
MARK1	3028	4172	2789	1009	1461	501
RAB3GAP2	6318	14380	7207	3309	2489	668
MARC1	105	145	61	499	76	68
DUSP10	628	3063	646	2513	198	343
DISP1	1106	1886	1626	568	525	145
MIA3	5406	17784	7016	3604	2221	815
TP53BP2	2001	2739	2300	2124	496	457
SUSD4	2447	9863	1775	3571	1884	745
CAPN8	0	0	0	838	37	13
CNIH3	1447	4818	817	935	1869	465
ENAH	3932	8078	4277	5431	864	378
SRP9	10774	33636	32558	5592	3049	1107
ACBD3	2453	8490	6788	4242	3207	1245
CDC42BPA	3958	12099	10884	6360	3890	1053
ADCK3	1642	12620	2269	12652	1671	1040
ITPKB	25	170	249	592	115	379
C1orf95	0	0	51	21	3	0
SNAP47	3276	12589	3563	3124	1699	1035
OBSCN	143	1599	14	960	100	99
ZNF678	281	1195	1559	543	151	93
WNT3A	0	0	0	48	0	0
RHOU	69	708	314	1150	97	84
GALNT2	2272	11694	1042	10517	2696	2020
URB2	215	983	811	376	174	40
PGBD5	880	3545	856	993	1213	329
TTC13	1242	7920	2909	1214	728	397
COG2	2196	9477	4020	3685	1811	1042
EXOC8	1658	2743	1065	2164	439	166
TRIM67	0	60	0	0	4	0
DISC1	0	6	0	5	0	2
PCNXL2	321	3060	446	910	786	327
SLC35F3	612	2557	726	1306	1243	302
GNG4	9093	39654	9319	4588	7455	1724
TBCE	1494	4818	2139	946	579	270
B3GALNT2	3034	4216	6979	2023	840	207
ARID4B	5131	19195	14010	5569	3135	1265
TOMM20	3646	11826	4675	8974	2871	1459
GPR137B	1605	4032	2580	1217	1600	791
EDARADD	7754	30728	6335	10659	4831	1972
NID1	474	219	2363	113	514	528
HEATR1	818	1350	848	758	235	107
LGALS8	2681	9067	5320	3506	1164	646
RYR2	312	410	47	887	66	0
CHRM3	265	901	1434	1043	224	44
FMN2	1148	3373	2492	719	355	139
KMO	146	706	354	35	14	1
WDR64	0	19	11	7	0	0
PLD5	0	0	0	5	1	1
CEP170	344	2137	1452	609	345	176
AKT3	2733	12498	3879	1277	1136	339
SDCCAG8	3166	14381	5253	4907	2696	800
LOC339529	0	0	0	9	0	0
ADSS	2821	4190	3506	1832	841	555
C1orf101	334	537	22	61	48	22
EFCAB2	298	9704	2516	1478	1104	366
DESI2	718	2303	1995	1975	792	340
CNST	1737	4568	4527	1822	859	465
ZNF670-ZNF695	0	0	0	0	0	0
ZNF124	11	1039	531	696	94	26
AHCTF1	962	2101	1728	575	419	149
ZNF670	531	1003	1025	313	113	34
NLRP3	68	162	190	2	614	42
GCSAML	0	30	9	0	0	1
OR2L13	0	0	0	3	1	1
OR4F5	0	0	0	0	0	0
DDX11L1	0	0	0	0	4	0
FAM138A+FAM138F	0	0	0	0	0	0
WASH7P	0	0	0	0	8	21
MIR6859-1+MIR6859-2	0	0	0	0	0	0
LOC729737	0	92	24	110	39	5
LOC100132062+LOC100132287+LOC100133331	0	0	0	2	0	0
OR4F16+OR4F29+OR4F3	0	4	0	0.666666666666667	0	0
MIR6723	28	101	78	66	41	14
LOC100133331	6	43	1	26	15	2
LOC100288069	0	36	18	18	18	0
FAM87B	0	6	0	11	24	1
LINC00115	115	109	54	100	68	57
KLHL17	217	2434	322	816	391	177
LOC100130417	0	286	19	66	39	5
